Estadísticas sobre el Suministro y Saneamiento del Agua
Resultados por comunidades y ciudades autónomas
Captación realizada por la propia empresa por comunidades y ciudades  autónomas, tipo de fuente y periodo.
Unidades: miles de metros cúbicos

,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
España,
    Total,3599437.0,3735690.0,3562119.0,3391477.0,3635655.0,3739127.0,3757106.0,3762619.0,3840220.0,4066341.0,4193613.0,4214160.0,4105632.0,4183657.0,4013562.0,
    Aguas superficiales,2436040.0,2479923.0,2402343.0,2258931.0,2463835.0,2517139.0,2443677.0,2406481.0,2511679.0,2811633.0,2978828.0,2906338.0,2980542.0,3094641.0,2999577.0,
    Aguas subterráneas,1003828.0,1124635.0,1057111.0,1004668.0,1065852.0,1118600.0,1212979.0,1226742.0,1220691.0,1147594.0,1094961.0,1179605.0,996163.0,970566.0,928413.0,
    Desalación,159569.0,131132.0,102665.0,127878.0,105968.0,103388.0,100450.0,129396.0,107850.0,107114.0,119824.0,128217.0,128927.0,118450.0,85572.0,
Andalucía,
    Total,583899.0,640220.0,610179.0,562323.0,573925.0,625878.0,550577.0,586986.0,678959.0,779698.0,772806.0,676710.0,708812.0,706776.0,628876.0,
    Aguas superficiales,356840.0,331069.0,337180.0,301187.0,344652.0,392699.0,332034.0,367094.0,475485.0,497294.0,528170.0,503639.0,497636.0,525574.0,482584.0,
    Aguas subterráneas,213478.0,302560.0,250593.0,249698.0,227524.0,216448.0,212270.0,205188.0,196448.0,282404.0,242861.0,169926.0,208233.0,178615.0,144169.0,
    Desalación,13581.0,6591.0,22406.0,11438.0,1749.0,16731.0,6273.0,14704.0,7026.0,0.0,1775.0,3145.0,2943.0,2587.0,2123.0,
Aragón,
    Total,241843.0,180839.0,233520.0,93312.0,94799.0,103556.0,85417.0,75108.0,70171.0,126266.0,108115.0,105481.0,76605.0,65260.0,60601.0,
    Aguas superficiales,227166.0,178137.0,227047.0,86126.0,86070.0,94694.0,76357.0,63773.0,64740.0,117217.0,95299.0,92345.0,65707.0,54551.0,51142.0,
    Aguas subterráneas,14677.0,2702.0,6473.0,7186.0,8729.0,8862.0,9060.0,11335.0,5431.0,9049.0,12816.0,13136.0,10898.0,10709.0,9459.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Asturias, Principado de,
